codigo;Chasis;CLICODIGO_SIMEC;monedaprevision_simec
34;13427;1ML00114;2
338;63230;1ML00204;2
339;63231;1ML00205;2
187;24085;1ML00206;2
780;25611;1ML00207;2
682;35010;1ML00716;2
221;3415;1ML00208;2
978;53262;1ML00209;2
90;17376;1ML00210;2
337;62876;1ML00212;2
568;62875;1ML00211;2
1023;55730;1ML00871;2
613;29962;1ML00215;2
595;29275;1ML00214;2
598;28994;1ML00213;2
370;7199;1ML00217;2
1301;77300;1ML00891;2
194;24227;1ML00218;2
14;11189;1ML00219;2
381;72345;1ML00220;2
569;72345M;1ML00221;2
1003;55134;1ML00761;2
369;7198;1ML00222;2
373;7216;1ML00223;2
317;56796;1ML00224;2
651;31683;1ML00226;2
652;31684;1ML00227;2
1022;55690;1ML00228;2
215;2890;1ML00229;2
